,x,y,xend,yend,Color
1,66.82163572,0.44983259,58.14327145,0.44983259,no
2,58.14327145,0.44983259,58.14327145,0.365094447,no
3,58.14327145,0.365094447,49.25724602,0.365094447,no
4,49.25724602,0.365094447,49.25724602,0.284289903,no
5,49.25724602,0.284289903,44.27230453,0.284289903,no
6,44.27230453,0.284289903,44.27230453,0.274969222,no
7,44.27230453,0.274969222,40.54460907,0.274969222,no
8,40.54460907,0.274969222,40.54460907,0.265512256,no
9,40.54460907,0.265512256,38.12046814,0.265512256,no
10,38.12046814,0.265512256,38.12046814,0.23113965,no
11,38.12046814,0.23113965,36.74093628,0.23113965,no
12,36.74093628,0.23113965,36.74093628,0.227978964,no
13,36.74093628,0.227978964,35.48187255,0.227978964,no
14,35.48187255,0.227978964,35.48187255,0.223065305,no
15,35.48187255,0.223065305,33.9637451,0.223065305,no
16,33.9637451,0.223065305,33.9637451,0.210963836,no
17,33.9637451,0.210963836,31.9274902,0.210963836,no
18,31.9274902,0.210963836,31.9274902,0.203310769,no
19,31.9274902,0.203310769,29.35498041,0.203310769,no
20,29.35498041,0.203310769,29.35498041,0.193964299,no
21,29.35498041,0.193964299,27.58496082,0.193964299,no
22,27.58496082,0.193964299,27.58496082,0.188362593,no
23,27.58496082,0.188362593,26.16992164,0.188362593,no
24,26.16992164,0.188362593,26.16992164,0.182985672,no
25,26.16992164,0.182985672,24.33984327,0.182985672,no
26,24.33984327,0.182985672,24.33984327,0.159767424,no
27,24.33984327,0.159767424,22.17968655,0.159767424,no
28,22.17968655,0.159767424,22.17968655,0.152342411,no
29,22.17968655,0.152342411,19.85937309,0.152342411,no
30,19.85937309,0.152342411,19.85937309,0.149882184,no
31,19.85937309,0.149882184,17.84374619,0.149882184,no
32,17.84374619,0.149882184,17.84374619,0.124283818,no
33,17.84374619,0.124283818,16.68749237,0.124283818,no
34,16.68749237,0.124283818,16.68749237,0.122052195,no
35,16.68749237,0.122052195,15.37498474,0.122052195,no
36,15.37498474,0.122052195,15.37498474,0.119541618,no
37,15.37498474,0.119541618,13.74996948,0.119541618,no
38,13.74996948,0.119541618,13.74996948,0.085590331,no
39,13.74996948,0.085590331,11.49993896,0.085590331,no
40,11.49993896,0.085590331,11.49993896,0.083510507,no
41,11.49993896,0.083510507,7.99987793,0.083510507,no
42,7.99987793,0.083510507,7.99987793,0.081110711,no
43,7.99987793,0.081110711,1.999755859,0.081110711,no
44,1.999755859,0.081110711,1.999755859,0,no
45,1.999755859,0,1,0,no
46,1,0,1,0,no
47,1.999755859,0,2.999511719,0,no
48,2.999511719,0,2.999511719,0,no
49,2.999511719,0,2,0,no
50,2,0,2,0,no
51,2.999511719,0,3.999023438,0,no
52,3.999023438,0,3.999023438,0,no
53,3.999023438,0,3,0,no
54,3,0,3,0,no
55,3.999023438,0,4.998046875,0,no
56,4.998046875,0,4.998046875,0,no
57,4.998046875,0,4,0,no
58,4,0,4,0,no
59,4.998046875,0,5.99609375,0,no
60,5.99609375,0,5.99609375,0,no
61,5.99609375,0,5,0,no
62,5,0,5,0,no
63,5.99609375,0,6.9921875,0,no
64,6.9921875,0,6.9921875,0,no
65,6.9921875,0,6,0,no
66,6,0,6,0,no
67,6.9921875,0,7.984375,0,no
68,7.984375,0,7.984375,0,no
69,7.984375,0,7,0,no
70,7,0,7,0,no
71,7.984375,0,8.96875,0,no
72,8.96875,0,8.96875,0,no
73,8.96875,0,8,0,no
74,8,0,8,0,no
75,8.96875,0,9.9375,0,no
76,9.9375,0,9.9375,0,no
77,9.9375,0,9,0,no
78,9,0,9,0,no
79,9.9375,0,10.875,0,no
80,10.875,0,10.875,0,no
81,10.875,0,10,0,no
82,10,0,10,0,no
83,10.875,0,11.75,0,no
84,11.75,0,11.75,0,no
85,11.75,0,11,0,no
86,11,0,11,0,no
87,11.75,0,12.5,0,no
88,12.5,0,12.5,0,no
89,12.5,0,12,0,no
90,12,0,12,0,no
91,12.5,0,13,0,no
92,13,0,13,0,no
93,7.99987793,0.081110711,14,0.081110711,no
94,14,0.081110711,14,0,no
95,11.49993896,0.083510507,15,0.083510507,no
96,15,0.083510507,15,0,no
97,13.74996948,0.085590331,16,0.085590331,no
98,16,0.085590331,16,0,no
99,15.37498474,0.119541618,17,0.119541618,no
100,17,0.119541618,17,0,no
101,16.68749237,0.122052195,18,0.122052195,no
102,18,0.122052195,18,0,no
103,17.84374619,0.124283818,19,0.124283818,no
104,19,0.124283818,19,0,no
105,19.85937309,0.149882184,21.875,0.149882184,no
106,21.875,0.149882184,21.875,0.11433239,no
107,21.875,0.11433239,20.75,0.11433239,no
108,20.75,0.11433239,20.75,0,no
109,20.75,0,20,0,no
110,20,0,20,0,no
111,20.75,0,21.5,0,no
112,21.5,0,21.5,0,no
113,21.5,0,21,0,no
114,21,0,21,0,no
115,21.5,0,22,0,no
116,22,0,22,0,no
117,21.875,0.11433239,23,0.11433239,no
118,23,0.11433239,23,0,no
119,22.17968655,0.152342411,24.5,0.152342411,no
120,24.5,0.152342411,24.5,0,no
121,24.5,0,24,0,no
122,24,0,24,0,no
123,24.5,0,25,0,no
124,25,0,25,0,no
125,24.33984327,0.159767424,26.5,0.159767424,no
126,26.5,0.159767424,26.5,0.080845208,no
127,26.5,0.080845208,26,0.080845208,no
128,26,0.080845208,26,0,no
129,26.5,0.080845208,27,0.080845208,no
130,27,0.080845208,27,0,no
131,26.16992164,0.182985672,28,0.182985672,no
132,28,0.182985672,28,0,no
133,27.58496082,0.188362593,29,0.188362593,no
134,29,0.188362593,29,0,no
135,29.35498041,0.193964299,31.125,0.193964299,no
136,31.125,0.193964299,31.125,0.168052072,no
137,31.125,0.168052072,30,0.168052072,no
138,30,0.168052072,30,0,no
139,31.125,0.168052072,32.25,0.168052072,no
140,32.25,0.168052072,32.25,0.140028008,no
141,32.25,0.140028008,31.5,0.140028008,no
142,31.5,0.140028008,31.5,0,no
143,31.5,0,31,0,no
144,31,0,31,0,no
145,31.5,0,32,0,no
146,32,0,32,0,no
147,32.25,0.140028008,33,0.140028008,no
148,33,0.140028008,33,0,no
149,31.9274902,0.203310769,34.5,0.203310769,no
150,34.5,0.203310769,34.5,0.11433239,no
151,34.5,0.11433239,34,0.11433239,no
152,34,0.11433239,34,0,no
153,34.5,0.11433239,35,0.11433239,no
154,35,0.11433239,35,0,no
155,33.9637451,0.210963836,36,0.210963836,no
156,36,0.210963836,36,0,no
157,35.48187255,0.223065305,37,0.223065305,no
158,37,0.223065305,37,0,no
159,36.74093628,0.227978964,38,0.227978964,no
160,38,0.227978964,38,0,no
161,38.12046814,0.23113965,39.5,0.23113965,no
162,39.5,0.23113965,39.5,0,no
163,39.5,0,39,0,no
164,39,0,39,0,no
165,39.5,0,40,0,no
166,40,0,40,0,no
167,40.54460907,0.265512256,42.96875,0.265512256,no
168,42.96875,0.265512256,42.96875,0.158347622,no
169,42.96875,0.158347622,41.5,0.158347622,no
170,41.5,0.158347622,41.5,0.080845208,no
171,41.5,0.080845208,41,0.080845208,no
172,41,0.080845208,41,0,no
173,41.5,0.080845208,42,0.080845208,no
174,42,0.080845208,42,0,no
175,42.96875,0.158347622,44.4375,0.158347622,no
176,44.4375,0.158347622,44.4375,0.105960595,no
177,44.4375,0.105960595,43,0.105960595,no
178,43,0.105960595,43,0,no
179,44.4375,0.105960595,45.875,0.105960595,no
180,45.875,0.105960595,45.875,0.103169996,no
181,45.875,0.103169996,44.75,0.103169996,no
182,44.75,0.103169996,44.75,0.080845208,no
183,44.75,0.080845208,44,0.080845208,no
184,44,0.080845208,44,0,no
185,44.75,0.080845208,45.5,0.080845208,no
186,45.5,0.080845208,45.5,0,no
187,45.5,0,45,0,no
188,45,0,45,0,no
189,45.5,0,46,0,no
190,46,0,46,0,no
191,45.875,0.103169996,47,0.103169996,no
192,47,0.103169996,47,0,no
193,44.27230453,0.274969222,48,0.274969222,no
194,48,0.274969222,48,0,no
195,49.25724602,0.284289903,54.2421875,0.284289903,no
196,54.2421875,0.284289903,54.2421875,0.085350622,no
197,54.2421875,0.085350622,52.484375,0.085350622,no
198,52.484375,0.085350622,52.484375,0.080582296,no
199,52.484375,0.080582296,49.96875,0.080582296,no
200,49.96875,0.080582296,49.96875,0,no
201,49.96875,0,49,0,no
202,49,0,49,0,no
203,49.96875,0,50.9375,0,no
204,50.9375,0,50.9375,0,no
205,50.9375,0,50,0,no
206,50,0,50,0,no
207,50.9375,0,51.875,0,no
208,51.875,0,51.875,0,no
209,51.875,0,51,0,no
210,51,0,51,0,no
211,51.875,0,52.75,0,no
212,52.75,0,52.75,0,no
213,52.75,0,52,0,no
214,52,0,52,0,no
215,52.75,0,53.5,0,no
216,53.5,0,53.5,0,no
217,53.5,0,53,0,no
218,53,0,53,0,no
219,53.5,0,54,0,no
220,54,0,54,0,no
221,52.484375,0.080582296,55,0.080582296,no
222,55,0.080582296,55,0,no
223,54.2421875,0.085350622,56,0.085350622,no
224,56,0.085350622,56,0,no
225,58.14327145,0.365094447,67.02929688,0.365094447,no
226,67.02929688,0.365094447,67.02929688,0.261242367,no
227,67.02929688,0.261242367,63.18359375,0.261242367,no
228,63.18359375,0.261242367,63.18359375,0.09059578,yes
229,63.18359375,0.09059578,59.3671875,0.09059578,yes
230,59.3671875,0.09059578,59.3671875,0.080582296,yes
231,59.3671875,0.080582296,57.75,0.080582296,yes
232,57.75,0.080582296,57.75,0,yes
233,57.75,0,57,0,yes
234,57,0,57,0,yes
235,57.75,0,58.5,0,yes
236,58.5,0,58.5,0,yes
237,58.5,0,58,0,yes
238,58,0,58,0,yes
239,58.5,0,59,0,yes
240,59,0,59,0,yes
241,59.3671875,0.080582296,60.984375,0.080582296,yes
242,60.984375,0.080582296,60.984375,0,yes
243,60.984375,0,60,0,yes
244,60,0,60,0,yes
245,60.984375,0,61.96875,0,yes
246,61.96875,0,61.96875,0,yes
247,61.96875,0,61,0,yes
248,61,0,61,0,yes
249,61.96875,0,62.9375,0,yes
250,62.9375,0,62.9375,0,yes
251,62.9375,0,62,0,yes
252,62,0,62,0,yes
253,62.9375,0,63.875,0,yes
254,63.875,0,63.875,0,yes
255,63.875,0,63,0,yes
256,63,0,63,0,yes
257,63.875,0,64.75,0,yes
258,64.75,0,64.75,0,yes
259,64.75,0,64,0,yes
260,64,0,64,0,yes
261,64.75,0,65.5,0,yes
262,65.5,0,65.5,0,yes
263,65.5,0,65,0,yes
264,65,0,65,0,yes
265,65.5,0,66,0,yes
266,66,0,66,0,yes
267,63.18359375,0.09059578,67,0.09059578,yes
268,67,0.09059578,67,0,yes
269,67.02929688,0.261242367,70.875,0.261242367,no
270,70.875,0.261242367,70.875,0.190385852,no
271,70.875,0.190385852,69.25,0.190385852,no
272,69.25,0.190385852,69.25,0.178695808,no
273,69.25,0.178695808,68.5,0.178695808,no
274,68.5,0.178695808,68.5,0.113592367,no
275,68.5,0.113592367,68,0.113592367,no
276,68,0.113592367,68,0,no
277,68.5,0.113592367,69,0.113592367,no
278,69,0.113592367,69,0,no
279,69.25,0.178695808,70,0.178695808,no
280,70,0.178695808,70,0,no
281,70.875,0.190385852,72.5,0.190385852,no
282,72.5,0.190385852,72.5,0.138119893,no
283,72.5,0.138119893,71.5,0.138119893,no
284,71.5,0.138119893,71.5,0.080321933,no
285,71.5,0.080321933,71,0.080321933,no
286,71,0.080321933,71,0,no
287,71.5,0.080321933,72,0.080321933,no
288,72,0.080321933,72,0,no
289,72.5,0.138119893,73.5,0.138119893,no
290,73.5,0.138119893,73.5,0.080582296,no
291,73.5,0.080582296,73,0.080582296,no
292,73,0.080582296,73,0,no
293,73.5,0.080582296,74,0.080582296,no
294,74,0.080582296,74,0,no
