set,dt_collect,pond,ec_mpn,ecoli,hf183,phage,hfi,building,week,temp,cond,turb,do,ph,rain2,rain7,solar2,solar7,wind2,wind7
train,2021-06-29,A2,12.1,0,1,0,1,1,26,26.925,273.425,9.1,4.23,7.8475,0.145,1.485,675.03,1951.16,6.3,17.7
train,2021-07-20,A2,57.3,0,1,0,1,1,29,27.3,242.75,11.375,3.8,8.05,0.72,2.485,737.6,2232.9,3.8,9.2
train,2021-07-29,A2,3.1,0,1,0,1,1,30,31.55,180.5,18.195,9.745,8.3725,0.895,2.475,828.3887755,1911,4.709183674,9.7
train,2021-08-11,A2,1,0,1,0,1,1,32,31.775,205.425,24.4925,9.235,8.7825,0.095,0.255,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,A2,19.9,0,1,0,1,1,36,27.675,237.525,19.695,9.4025,9.7575,0,2.145,1099.4,2294.4,6.8,9.6
train,2021-09-26,A2,1,0,0,0,0,1,38,26.175,241.025,33.6125,8.175,10.1325,0.02,0.44,1051.6,1935.9,4.4,15.6
train,2021-10-11,A2,10.9,0,1,1,1,1,41,26.9,223.975,2.79,9.815,8.515,0,1.62833333333333,764.8,1099.4,6.4,12.8
train,2021-10-25,A2,1,0,0,0,0,1,43,25.35,255.025,72.1475,10.8325,8.925,0.0266666666666667,0,764.8,2007.6,4.2,9.6
train,2021-11-01,A2,8.6,0,0,0,0,1,44,21.35,228.025,69.2925,9.8325,8.17,0.03,1.46166666666667,382.4,1601.3,7.7,18.4
train,2021-11-15,A2,1,0,0,0,0,1,46,18,212.1,1.62,7.52,7.9625,0,0.166666666666667,764.8,1840.3,6.7,9.7
train,2021-12-04,A2,4.1,0,0,0,0,1,48,17.575,201.925,5.165,9.57,8.255,0,0.01,645.3,1434,3.3,10.1
train,2021-12-15,A2,1,0,0,0,0,1,50,18.25,217.175,33.41,7.68,8.3975,0,0.146666666666667,478,932.1,3.4,16.6
train,2020-09-22,A3,62.4,0,0,0,0,1,39,21.925,300.05,8.06,0.9425,6.6725,0.01,0,491.13,646.01,11.4,27.5
train,2020-10-08,A3,70.3,0,0,0,0,1,41,23.875,170.3333333,24.7525,1.1325,6.6575,0,0,502.35,1713.9,5.1,16.6
train,2020-10-22,A3,9.7,0,0,0,0,1,43,21.925,271.75,4.2,4.13,7.0625,0.085,0.025,428.4,1555.9,8.1,19.3
train,2020-11-05,A3,261.3,1,1,0,1,1,45,17.1,215.675,49.1825,3.66,7.445,0,0,637.4,1288.56,3.9,28.4
train,2020-11-19,A3,32.3,0,1,0,1,1,47,14.4,211.475,67.5525,9.5725,7.995,0,0,604.25,1160.87,10.2,18.9
train,2020-12-14,A3,95.7,0,1,0,1,1,51,14.4,203.575,8.7775,6.11,7.6025,0.01,0,337.52,1231.96,4,14.9
train,2021-01-25,A3,120.1,0,1,1,1,1,4,10.975,173.025,4.0275,4.295,7.7875,0,0.57,433.8,958.63,6,12.7
train,2021-02-11,A3,1413.6,1,1,1,1,1,6,14.925,149,5.7125,7.91,8.0625,0.01,1.8,147.65,899.74,5.3,18.7
train,2021-03-03,A3,686.7,1,1,1,1,1,9,12.65,127.175,71.5125,8.6575,7.5525,2.21,0.75,127.32,1571.81,9,9.8
train,2021-03-16,A3,5.2,0,1,0,1,1,11,18.7,165.575,2.37,4.67,7.7525,0,0.035,685.23,2000.74,4.1,13
train,2021-04-06,A3,2,0,1,0,1,1,14,20.85,174.975,4.105,3.6225,8.1075,0,0.658333333333333,1020.41,2351.82,3.2,29.5
train,2021-04-26,A3,1,0,1,1,1,1,17,24.65,169.05,83.84,4.2925,8.105,0,2.64,577.99,2509.1,12,21.8
train,2021-05-10,A3,1,0,0,0,0,1,19,23.675,165.75,3.65,9.29,8.3175,0,0.276666666666667,1100.78,2184.95,5.3,21.4
train,2021-05-25,A3,1,0,0,0,0,1,21,25.25,197.425,4.1125,3.4725,8.5275,0,0.01,1168.31,2558.57,3.4,30.7
train,2021-06-09,A3,59.8,0,1,1,1,1,23,30.575,179.95,35.3775,3.955,8.015,0.02,1.605,768.88,2095.28,6.4,12.7
train,2021-06-29,A3,6.3,0,1,0,1,1,26,25.6,221.525,159.9525,1.9825,8.255,0.145,1.485,675.03,1951.16,6.3,17.7
train,2021-07-20,A3,249.5,1,1,0,1,1,29,25.175,184.75,12.25,3.675,7.875,0.72,2.485,737.6,2232.9,3.8,9.2
train,2021-07-29,A3,3.1,0,1,0,1,1,30,30.7,178.45,77.465,1.6625,7.545,0.895,2.475,828.3887755,1911,4.709183674,9.7
train,2021-08-11,A3,14.2,0,1,0,1,1,32,27.325,214.25,7.43,1.8025,7.9625,0.095,0.255,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,A3,90.8,0,0,0,0,1,36,29.5,236.925,75.52,4.6875,9.12,0,2.145,1099.4,2294.4,6.8,9.6
train,2021-09-26,A3,1,0,0,0,0,1,38,29.825,281.6,132.095,5.5325,9.4675,0.02,0.44,1051.6,1935.9,4.4,15.6
train,2021-10-11,A3,5.2,0,0,0,0,1,41,26.4,272.975,152.1,3.6675,7.2975,0,1.62833333333333,764.8,1099.4,6.4,12.8
train,2021-10-25,A3,1,0,0,0,0,1,43,23.75,256.825,1.53,10.955,7.875,0.0266666666666667,0,764.8,2007.6,4.2,9.6
train,2021-11-01,A3,1,0,0,0,0,1,44,21.8,243.05,37.1525,7.1275,7.51,0.03,1.46166666666667,382.4,1601.3,7.7,18.4
train,2021-11-15,A3,1,0,0,1,1,1,46,17.85,227.375,16.12666667,7.9525,8.0425,0,0.166666666666667,764.8,1840.3,6.7,9.7
train,2021-12-04,A3,1,0,0,0,0,1,48,17.425,217.9,24.6675,13.9675,8.9425,0,0.01,645.3,1434,3.3,10.1
train,2021-12-15,A3,1,0,0,0,0,1,50,18.95,223.3,177.315,9.6675,8.64,0,0.146666666666667,478,932.1,3.4,16.6
train,2020-09-22,A4,3,0,1,0,1,1,39,24.25,317.85,19.525,11.53,8.475,0.01,0,491.13,646.01,11.4,27.5
train,2020-10-08,A4,1,0,1,0,1,1,41,24.575,321.025,29.15,11.6275,8.56,0,0,502.35,1713.9,5.1,16.6
train,2020-10-22,A4,5.2,0,1,0,1,1,43,23.5,311.875,19.8675,9.6775,8.5775,0.085,0.025,428.4,1555.9,8.1,19.3
train,2020-11-05,A4,14.5,0,1,0,1,1,45,17.5,257.375,10.5775,10.0125,8.175,0,0,637.4,1288.56,3.9,28.4
train,2020-11-19,A4,20.3,0,1,0,1,1,47,15.4,260.05,10.56,9.375,8.1475,0,0,604.25,1160.87,10.2,18.9
train,2020-12-14,A4,6.3,0,1,0,1,1,51,15.5,276,2.96,5.1,7.6975,0.01,0,337.52,1231.96,4,14.9
train,2021-01-25,A4,8.5,0,1,0,1,1,4,16.875,252.85,7.635,10.8125,7.7325,0,0.57,433.8,958.63,6,12.7
train,2021-02-11,A4,8.4,0,1,0,1,1,6,16.375,224.925,3.615,10.385,8.355,0.01,1.8,147.65,899.74,5.3,18.7
train,2021-03-03,A4,218.7,1,0,0,0,1,9,15.575,185.125,4.625,8.71,7.5275,2.21,0.75,127.32,1571.81,9,9.8
train,2021-03-16,A4,2,0,1,0,1,1,11,21.5,228.15,5.5275,8.905,7.98,0,0.035,685.23,2000.74,4.1,13
train,2021-04-06,A4,1,0,1,0,1,1,14,23.05,236.825,7.7325,11.46,9.015,0,0.658333333333333,1020.41,2351.82,3.2,29.5
train,2021-04-26,A4,7.5,0,1,0,1,1,17,28.25,263.725,4.585,5.8625,8.0675,0,2.64,577.99,2509.1,12,21.8
train,2021-05-10,A4,1,0,1,0,1,1,19,25.5,229.65,13.37,9.4575,8.38,0,0.276666666666667,1100.78,2184.95,5.3,21.4
train,2021-05-25,A4,1,0,1,0,1,1,21,33.05,297.25,62.0725,9.7225,9.1225,0,0.01,1168.31,2558.57,3.4,30.7
train,2021-06-09,A4,2419.6,1,1,0,1,1,23,34.6,250.35,42.68,8.9525,8.81,0.02,1.605,768.88,2095.28,6.4,12.7
train,2021-06-29,A4,2,0,1,0,1,1,26,26.675,274.9,14.3,4.3425,8.0025,0.145,1.485,675.03,1951.16,6.3,17.7
train,2021-07-20,A4,4.1,0,1,0,1,1,29,27,292.5,14.675,3.9,7.775,0.72,2.485,737.6,2232.9,3.8,9.2
train,2021-07-29,A4,9.8,0,1,0,1,1,30,28.85,232.575,12.1325,4.8525,7.995,0.895,2.475,828.3887755,1911,4.709183674,9.7
train,2021-08-11,A4,22.6,0,1,0,1,1,32,29.625,224.475,6.2375,7.8425,8.3625,0.095,0.255,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,A4,14.6,0,1,0,1,1,36,26.05,224.225,73.5375,3.75,9.58,0,2.145,1099.4,2294.4,6.8,9.6
train,2021-09-26,A4,4.1,0,1,0,1,1,38,28.825,227.9,42.8275,6.7775,9.9925,0.02,0.44,1051.6,1935.9,4.4,15.6
train,2021-10-11,A4,2,0,1,0,1,1,41,25.525,234.55,44.84666667,3.49,7.6075,0,1.62833333333333,764.8,1099.4,6.4,12.8
train,2021-10-25,A4,55.7,0,1,0,1,1,43,25.125,200.075,106.8375,2.87,7.12,0.0266666666666667,0,764.8,2007.6,4.2,9.6
train,2021-11-01,A4,38.4,0,1,0,1,1,44,21.1,206.175,188.355,4.35,7.605,0.03,1.46166666666667,382.4,1601.3,7.7,18.4
train,2021-11-15,A4,1,0,1,0,1,1,46,17.975,215.1,132.6175,5.74,7.955,0,0.166666666666667,764.8,1840.3,6.7,9.7
train,2021-12-04,A4,5.21,0,1,0,1,1,48,15.125,211.075,243.545,7.0325,8.366666667,0,0.01,645.3,1434,3.3,10.1
train,2021-12-15,A4,9.8,0,1,0,1,1,50,17.375,228.275,22.425,5.045,8.0725,0,0.146666666666667,478,932.1,3.4,16.6
train,2020-09-21,B1,22.6,0,0,0,0,0,39,21.4,266.1,34.8175,8.9525,8.4475,0,0,324.67,697.42,10.9,26.9
train,2020-10-06,B1,1,0,0,0,0,0,41,21.6,262.75,19.98,10.245,8.915,0,0.01,632.91,1640.76,6.7,17.3
train,2020-10-20,B1,6.2,0,0,0,0,0,43,22.875,301.4,4.655,8.89,8.5025,0,0,646.17,1536.21,7.1,17.6
train,2020-11-03,B1,4.1,0,0,0,0,0,45,17.425,228.2,13.9575,12.0025,9.125,0,0,584.56,1032.75,11.1,27.4
train,2020-11-17,B1,1,0,0,0,0,0,47,18.95,244.25,7.415,10.535,9.115,0,0,439.01,1029.6,8.3,19.9
train,2020-12-14,B1,1,0,0,0,0,0,51,16.25,246.75,4.8075,12.3425,9.0325,0.01,0,337.52,1231.96,4,14.9
train,2021-01-25,B1,1,0,0,0,0,0,4,14.625,276.775,4.61,11.7875,8.5425,0,0.83,433.8,958.63,6,12.7
train,2021-02-11,B1,4.1,0,0,0,0,0,6,13.85,264.25,7.905,8.595,7.6875,0.01,2.02,147.65,899.74,5.3,18.7
train,2021-03-03,B1,86,0,1,0,1,0,9,15.025,198.625,34.53,9.455,7.6425,2.26,0.75,127.32,1571.81,9,9.8
train,2021-03-16,B1,41,0,0,0,0,0,11,21.275,238.85,7.55,10.43,8.6625,0,0,685.23,2000.74,4.1,13
train,2021-04-06,B1,17.1,0,0,0,0,0,14,20.1,257.6,11.53,11.085,9,0,0.53,1020.41,2351.82,3.2,29.5
train,2021-04-26,B1,2,0,0,0,0,0,17,22.325,154.05,114.1125,9.565,9.0575,0,5.83,577.99,2509.1,12,21.8
train,2021-05-10,B1,1,0,0,0,0,0,19,24.1,218.325,26.4275,7.26,8.4675,0,0.58,1100.78,2184.95,5.3,21.4
train,2021-05-25,B1,1,0,0,0,0,0,21,29.3,254.125,9.42,14.245,10.0275,0,0,1168.31,2558.57,3.4,30.7
train,2021-06-09,B1,5.2,0,0,0,0,0,23,28.8,234,41.32,12.4575,9.485,0.49,0.05,768.88,2095.28,6.4,12.7
train,2021-06-29,B1,17.7,0,0,0,0,0,26,27.65,187.325,42.405,11.9825,9.53,0.61,3.73,675.03,1951.16,6.3,17.7
train,2021-07-20,B1,6.2,0,0,0,0,0,29,28.5,206.25,27.3,4.825,9.325,0.17,0.14,737.6,2232.9,3.8,9.2
train,2021-07-29,B1,1,0,0,0,0,0,30,32.05,209.6,171.6075,11.965,9.8475,0,2.47,828.3887755,1911,4.709183674,9.7
train,2021-08-11,B1,1,0,0,0,0,0,32,28.925,204.325,21.59,4.5075,9.1325,0.02,0.01,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,B1,1,0,0,0,0,0,36,28.275,254.26,25.75,10.6,10.3325,0,1.48,1099.4,2294.4,6.8,9.6
train,2021-09-26,B1,28.8,0,0,0,0,0,38,29.45,246.425,34.3575,15.5775,10.8,0,1.03,1051.6,1935.9,4.4,15.6
train,2021-10-11,B1,12,0,0,0,0,0,41,25.325,189.625,14.78666667,8.8775,8.955,0,2.5,764.8,1099.4,6.4,12.8
train,2021-10-25,B1,93.3,0,0,0,0,0,43,25.625,228.15,32.565,14.03,9.8625,0.17,0,764.8,2007.6,4.2,9.6
train,2021-11-01,B1,2419.6,1,0,0,0,0,44,21.625,233.25,0.7975,12.3775,9.56,0,1.72,382.4,1601.3,7.7,18.4
train,2021-11-15,B1,1,0,0,0,0,0,46,18.1,227.325,0.885,11.0775,9.525,0,0.02,764.8,1840.3,6.7,9.7
train,2021-12-04,B1,1,0,0,0,0,0,48,20.25,168.725,53.06,14.7375,9.68,0,0,645.3,1434,3.3,10.1
train,2021-12-15,B1,1,0,0,0,0,0,50,17.3,196.2,1.815,8.63,8.475,0,0.34,478,932.1,3.4,16.6
train,2020-09-21,B2,14.5,0,0,0,0,0,39,21.85,152.05,2.955,7.2975,7.57,0.01,0,324.67,697.42,10.9,26.9
train,2020-10-06,B2,1,0,0,0,0,0,41,20.85,150.2,2.755,10.185,8.3475,0,0,632.91,1640.76,6.7,17.3
train,2020-10-20,B2,3.1,0,0,0,0,0,43,21.55,155.1,4.205,9.8025,8.425,0,0,646.17,1536.21,7.1,17.6
train,2020-11-03,B2,5.2,0,0,0,0,0,45,17.1,140.725,3.975,9.6225,8.39,0,0,584.56,1032.75,11.1,27.4
train,2020-11-17,B2,2,0,0,0,0,0,47,18.325,148.85,7.5775,7.54,8.315,0,0,439.01,1029.6,8.3,19.9
train,2020-12-14,B2,37.3,0,0,0,0,0,51,15.575,140.45,0.9475,9.2025,8.195,0.03,0,337.52,1231.96,4,14.9
train,2021-01-25,B2,1,0,0,0,0,0,4,14.475,106.3,1.2525,10.1975,8.525,0,0.67,433.8,958.63,6,12.7
train,2021-02-11,B2,66.3,0,0,0,0,0,6,17.075,91.875,5.865,9.7425,7.83,0,1.29,147.65,899.74,5.3,18.7
train,2021-03-03,B2,727,1,0,0,0,0,9,13.475,68.8,29.375,8.845,7.89,1.81,0.24,127.32,1571.81,9,9.8
train,2021-03-16,B2,1,0,0,0,0,0,11,19.9,85,2.8825,9.3675,8.755,0,0,685.23,2000.74,4.1,13
train,2021-04-06,B2,2,0,0,0,0,0,14,18.175,122.475,2.205,8.085,9.04,0,0.56,1020.41,2351.82,3.2,29.5
train,2021-04-26,B2,5.2,0,1,0,1,0,17,19.05,99.195,62.935,8.035,8.5475,0.01,5.46,577.99,2509.1,12,21.8
train,2021-05-10,B2,5.2,0,0,0,0,0,19,24.25,118.6,4.8825,8.63,8.515,0,0.89,1100.78,2184.95,5.3,21.4
train,2021-05-25,B2,1,0,0,0,0,0,21,26.7,128.225,6.0725,9.31,9.095,0,0,1168.31,2558.57,3.4,30.7
train,2021-06-09,B2,28.8,0,0,0,0,0,23,27.425,133.3,6.735,7.2725,8.7775,0.4,1.45,768.88,2095.28,6.4,12.7
train,2021-06-29,B2,3,0,0,0,0,0,26,29.25,147.975,19.74,7.69,8.345,1.04,0.01,675.03,1951.16,6.3,17.7
train,2021-07-20,B2,24.1,0,1,0,1,0,29,28.5,145,11.175,6.1,8.675,0.4,0.18,737.6,2232.9,3.8,9.2
train,2021-07-29,B2,40.8,0,0,0,0,0,30,29.35,127.5,6.9,6.575,9.9,0.07,2.64,828.3887755,1911,4.709183674,9.7
train,2021-08-11,B2,36.4,0,0,0,0,0,32,28.775,131.75,10.0375,7.6825,8.61,1.15,0.12,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-08-28,B2,35,0,0,0,0,0,34,28.325,118.075,15.19,5.4625,8.8,0.18,0.07,908.2,2390,6.8,12.1
train,2021-09-12,B2,8.6,0,0,0,0,0,36,26.8,112.425,10.21,5.7875,9.55,0.01,0.03,1099.4,2294.4,6.8,9.6
train,2021-09-26,B2,6.3,0,0,0,0,0,38,23.875,115.175,6.7225,4.41,10.21,0.01,0.78,1051.6,1935.9,4.4,15.6
train,2021-10-11,B2,14.5,0,0,0,0,0,41,24.225,120.375,0,5.03,7.805,0,0.74,764.8,1099.4,6.4,12.8
train,2021-10-25,B2,15.8,0,0,0,0,0,43,21.425,114.9333333,1.61,8.8075,8.3325,0.05,0.01,764.8,2007.6,4.2,9.6
train,2021-11-01,B2,28.8,0,0,0,0,0,44,17.325,99.825,0.796666667,8.425,8.1925,0,1.55,382.4,1601.3,7.7,18.4
train,2021-11-15,B2,12.1,0,0,0,0,0,46,14.475,87.2,30.09,9.505,9.4425,0,0.01,764.8,1840.3,6.7,9.7
train,2021-12-04,B2,1,0,0,0,0,0,48,13.35,86.4,2.3,10.5325,7.8725,0,0.01,645.3,1434,3.3,10.1
train,2021-12-15,B2,150,1,0,0,0,0,50,14.4,73.275,0.8475,9.6475,9.24,0,0.04,478,932.1,3.4,16.6
train,2020-09-21,B3,30.9,0,0,0,0,0,39,23.675,285.475,12.325,11.2225,7.9825,0.01,0,324.67,697.42,10.9,26.9
train,2020-10-06,B3,7.4,0,0,0,0,0,41,21.2,672,8.6825,8.4375,7.53,0,0,632.91,1640.76,6.7,17.3
train,2020-10-20,B3,6.3,0,0,0,0,0,43,22.1,446.775,3.7675,8.035,7.6025,0,0,646.17,1536.21,7.1,17.6
train,2020-11-03,B3,24.6,0,0,0,0,0,45,14.675,247.925,12.11,8.5,7.7275,0,0,584.56,1032.75,11.1,27.4
train,2020-11-17,B3,3.1,0,0,0,0,0,47,15.725,227.875,5.33,9.74,8.1175,0,0,439.01,1029.6,8.3,19.9
train,2020-12-14,B3,1,0,0,0,0,0,51,16.85,329.05,3.1,7.105,7.9675,0.02,0,337.52,1231.96,4,14.9
train,2021-01-25,B3,9.8,0,0,0,0,0,4,14.6,237.625,4.8875,11.1425,8.61,0,0.71,433.8,958.63,6,12.7
train,2021-02-11,B3,410.6,1,0,0,0,0,6,13.725,103.725,252.86,8.8975,8.195,0,2.53,147.65,899.74,5.3,18.7
train,2021-03-03,B3,2419.6,1,1,0,1,0,9,11.425,84.65,100.225,9.0625,7.6725,2.27,0.79,127.32,1571.81,9,9.8
train,2021-03-16,B3,1,0,0,0,0,0,11,20.8,228.875,4.715,10.185,8.3875,0,0,685.23,2000.74,4.1,13
train,2021-04-06,B3,1,0,0,0,0,0,14,17.85,319.275,11.0525,13.5725,8.94,0,0.42,1020.41,2351.82,3.2,29.5
train,2021-04-26,B3,52.1,0,0,0,0,0,17,24.025,188.75,288.44,6.8175,7.9225,0.07,1.87,577.99,2509.1,12,21.8
train,2021-05-10,B3,1,0,0,0,0,0,19,23.8,295.275,30.2325,15.52,10.1525,0,0.18,1100.78,2184.95,5.3,21.4
train,2021-05-25,B3,11,0,0,0,0,0,21,28.525,189.2675,12.75,10.1875,9.125,0,0,1168.31,2558.57,3.4,30.7
train,2021-06-09,B3,2419.6,1,0,0,0,0,23,26.325,171.2,216.9475,8.3575,8.31,2.13,0.66,768.88,2095.28,6.4,12.7
train,2021-06-29,B3,6.3,0,0,0,0,0,26,28.275,245.75,59.9675,11.755,8.895,0.3,0.7,675.03,1951.16,6.3,17.7
train,2021-07-20,B3,12.2,0,0,0,0,0,29,27.775,279.25,31.025,4.9,8,0.06,0.33,737.6,2232.9,3.8,9.2
train,2021-07-29,B3,231,1,0,0,0,0,30,28.775,283.675,54.05,7.85,8.375,0.08,0.34,828.3887755,1911,4.709183674,9.7
train,2021-08-11,B3,14.16,0,0,0,0,0,32,28.075,60.125,12.065,7.3725,7.8775,0.05,0.54,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,B3,16,0,0,0,0,0,36,25.85,340.85,34.525,7.8875,9.5525,0.01,0.18,1099.4,2294.4,6.8,9.6
train,2021-09-26,B3,1,0,0,0,0,0,38,22.45,274.125,9.57,10.595,11.245,0.04,0,1051.6,1935.9,4.4,15.6
train,2021-10-11,B3,36.8,0,0,0,0,0,41,22.75,238.025,14.43,5.6875,7.3975,0.03,0,764.8,1099.4,6.4,12.8
train,2021-10-25,B3,3.1,0,0,0,0,0,43,21.3625,262.325,65.935,10.8525,9.245,0.17,0.01,764.8,2007.6,4.2,9.6
train,2021-11-01,B3,7.4,0,0,0,0,0,44,15.575,211.95,34.6325,8.915,8.3875,0.03,1.42,382.4,1601.3,7.7,18.4
train,2021-11-15,B3,13.2,0,0,0,0,0,46,13.525,249.15,17.74333333,11.055,9.4,0.01,0.03,764.8,1840.3,6.7,9.7
train,2021-12-04,B3,1,0,1,0,1,0,48,14.675,224.35,4.43,10.76,8.495,0,0,645.3,1434,3.3,10.1
train,2021-12-15,B3,101.7,0,0,0,0,0,50,16.2,152.2875,54.415,12.1675,8.9675,0.02,0.29,478,932.1,3.4,16.6
train,2020-09-21,B4,116,0,1,0,1,1,39,23.025,226.4,73.725,12.1825,8.67,0.01,0,324.67,697.42,10.9,26.9
