set,dt_collect,pond,ec_mpn,ecoli,hf183,phage,hfi,building,week,temp,cond,turb,do,ph,rain2,rain7,solar2,solar7,wind2,wind7
train,2020-09-22,A1,4.1,0,1,0,1,1,39,21.275,331.175,2.905,5.12,7.2075,0.01,0,491.13,646.01,11.4,27.5
train,2020-10-08,A1,2,0,0,0,0,1,41,22.95,322.075,4.88,8.1625,7.225,0,0,502.35,1713.9,5.1,16.6
train,2020-10-22,A1,6.3,0,1,0,1,1,43,22.45,296.575,2.07,6,7.7525,0.085,0.025,428.4,1555.9,8.1,19.3
train,2020-11-05,A1,6.3,0,0,0,0,1,45,17.15,222.125,2.8125,7.93,7.82,0,0,637.4,1288.56,3.9,28.4
train,2020-11-19,A1,2,0,1,0,1,1,47,15.875,225.7,2.765,6.5025,8.2225,0,0,604.25,1160.87,10.2,18.9
train,2020-12-14,A1,7.4,0,0,0,0,1,51,14.675,220.925,7.11,7.3375,7.4825,0.01,0,337.52,1231.96,4,14.9
train,2021-01-25,A1,1,0,0,0,0,1,4,13.975,155.4,2.865,12.0225,7.87,0,0.57,433.8,958.63,6,12.7
train,2021-02-11,A1,42,0,1,1,1,1,6,14.6,164.075,6.2275,9.03,8.975,0.01,1.8,147.65,899.74,5.3,18.7
train,2021-03-03,A1,1046.2,1,1,1,1,1,9,13.925,107.45,4.88,7.7275,8.035,2.21,0.75,127.32,1571.81,9,9.8
train,2021-03-16,A1,1,0,0,0,0,1,11,19.675,119.025,3.2375,6.9225,8.4175,0,0.035,685.23,2000.74,4.1,13
train,2021-04-06,A1,5.2,0,0,0,0,1,14,20.375,203.625,4.7125,9.015,8.2225,0,0.658333333333333,1020.41,2351.82,3.2,29.5
train,2021-04-26,A1,74.9,0,1,0,1,1,17,20.375,203.625,4.7125,9.015,8.2225,0,2.64,577.99,2509.1,12,21.8
train,2021-05-10,A1,7.4,0,0,0,0,1,19,24.675,258.65,5.505,8.1575,8.0425,0,0.276666666666667,1100.78,2184.95,5.3,21.4
train,2021-05-25,A1,11.9,0,1,0,1,1,21,29.675,420.9,6.1925,7.845,8.71,0,0.01,1168.31,2558.57,3.4,30.7
train,2021-06-09,A1,43.1,0,1,0,1,1,23,31.375,391.175,14.9675,7.735,8.2775,0.02,1.605,768.88,2095.28,6.4,12.7
train,2021-06-29,A1,8.4,0,1,0,1,1,26,26.9,369.25,7.045,6.145,7.8575,0.145,1.485,675.03,1951.16,6.3,17.7
train,2021-07-20,A1,2419.6,1,0,0,0,1,29,27,293,14.825,3.875,7.775,0.72,2.485,737.6,2232.9,3.8,9.2
train,2021-07-29,A1,5.2,0,0,1,1,1,30,31.775,166.3,6.9075,9.235,8.7575,0.895,2.475,828.3887755,1911,4.709183674,9.7
train,2021-08-11,A1,36.8,0,1,0,1,1,32,29.425,203.625,10.23,6.505,8.525,0.095,0.255,828.2143817,2287.4890207,6.004388109,13.069383821
train,2021-09-12,A1,41.4,0,1,0,1,1,36,26.5,174.1,13.7725,10.6325,9.5525,0,2.145,1099.4,2294.4,6.8,9.6
train,2021-09-26,A1,1,0,1,0,1,1,38,25.925,191.1,8.08,8.785,10.78,0.02,0.44,1051.6,1935.9,4.4,15.6
train,2021-10-11,A1,13.2,0,0,0,0,1,41,25.425,235.1,4.1675,8.1975,7.5575,0,1.62833333333333,764.8,1099.4,6.4,12.8
train,2021-10-25,A1,1,0,0,0,0,1,43,23.625,225.075,2.876666667,4.2575,7.6275,0.0266666666666667,0,764.8,2007.6,4.2,9.6
train,2021-11-01,A1,8.6,0,0,0,0,1,44,19.675,203.2,1.075,6.39,7.6975,0.03,1.46166666666667,382.4,1601.3,7.7,18.4
train,2021-11-15,A1,3.1,0,0,0,0,1,46,17,170.8,0.98,8.995,8.19,0,0.166666666666667,764.8,1840.3,6.7,9.7
train,2021-12-04,A1,9.7,0,0,0,0,1,48,17.825,185.55,2.2175,10.1325,8.58,0,0.01,645.3,1434,3.3,10.1
train,2021-12-15,A1,1,0,0,0,0,1,50,16.625,184.275,1.8025,6.4,7.8825,0,0.146666666666667,478,932.1,3.4,16.6
train,2020-09-22,A2,12.2,0,0,0,0,1,39,22.475,294.475,8.7025,7.8175,7.2325,0.01,0,491.13,646.01,11.4,27.5
train,2020-10-08,A2,1,0,0,0,0,1,41,23.7,323.775,9.72,6.715,7.4575,0,0,502.35,1713.9,5.1,16.6
train,2020-10-22,A2,1,0,0,0,0,1,43,23.3,286,7.53,4.2125,7.415,0.085,0.025,428.4,1555.9,8.1,19.3
train,2020-11-05,A2,17.1,0,0,0,0,1,45,17.875,252.025,5.4775,6.865,7.695,0,0,637.4,1288.56,3.9,28.4
train,2020-11-19,A2,1,0,0,0,0,1,47,16.7,251.575,2.245,6.67,7.7575,0,0,604.25,1160.87,10.2,18.9
train,2020-12-14,A2,4.1,0,0,0,0,1,51,15.4,253.35,2.5325,9.35,7.8,0.01,0,337.52,1231.96,4,14.9
train,2021-01-25,A2,1,0,0,0,0,1,4,16.15,239.425,3.035,11.9175,8.4325,0,0.57,433.8,958.63,6,12.7
train,2021-02-11,A2,14.8,0,1,0,1,1,6,15.675,243.325,3.395,11.7025,8.335,0.01,1.8,147.65,899.74,5.3,18.7
train,2021-03-03,A2,275.5,1,0,0,0,1,9,14.45,157.575,11.8775,8.305,7.4575,2.21,0.75,127.32,1571.81,9,9.8
train,2021-03-16,A2,2,0,0,0,0,1,11,20.675,167.875,3.0625,10.55,8.2775,0,0.035,685.23,2000.74,4.1,13
train,2021-04-06,A2,1,0,0,0,0,1,14,21.75,190.75,3.4475,9.2825,8.31,0,0.658333333333333,1020.41,2351.82,3.2,29.5
train,2021-04-26,A2,13.1,0,0,0,0,1,17,25.725,204.35,12.66,11.6125,8.7125,0,2.64,577.99,2509.1,12,21.8
train,2021-05-10,A2,1,0,0,0,0,1,19,24.375,211.9,9.6625,7.4325,8.2325,0,0.276666666666667,1100.78,2184.95,5.3,21.4
train,2021-05-25,A2,7.3,0,0,0,0,1,21,30.15,254.775,82.23,7.5875,8.3775,0,0.01,1168.31,2558.57,3.4,30.7
train,2021-06-09,A2,3.1,0,0,0,0,1,23,31.85,233.1,69.665,10.61,8.855,0.02,1.605,768.88,2095.28,6.4,12.7
